Setting interface address, interface = large_topologywithrouting7.ue2[0].wlan, address = 10.0.27.5, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.ue2[1].wlan, address = 10.0.27.6, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.eNodeB3.wlan, address = 10.0.27.7, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.ue3[0].wlan, address = 10.0.27.8, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.ue3[1].wlan, address = 10.0.27.9, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.eNodeB5.wlan, address = 10.0.27.10, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.eNodeB4.wlan, address = 10.0.27.11, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.ue4[0].wlan, address = 10.0.27.12, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.ue4[1].wlan, address = 10.0.27.13, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.ue5[0].wlan, address = 10.0.27.14, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.ue5[1].wlan, address = 10.0.27.15, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.eNodeB6.wlan, address = 10.0.27.16, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.ue6[0].wlan, address = 10.0.27.17, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.ue6[1].wlan, address = 10.0.27.18, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.eNodeB7.wlan, address = 10.0.27.19, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.ue7[0].wlan, address = 10.0.27.20, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.ue7[1].wlan, address = 10.0.27.21, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.eNodeB8.wlan, address = 10.0.27.22, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.ue8[0].wlan, address = 10.0.27.23, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.ue8[1].wlan, address = 10.0.27.24, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.eNodeB9.wlan, address = 10.0.27.25, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.ue9[0].wlan, address = 10.0.27.26, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.ue9[1].wlan, address = 10.0.27.27, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.eNodeB10.wlan, address = 10.0.27.28, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.ue10[0].wlan, address = 10.0.27.29, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.ue10[1].wlan, address = 10.0.27.30, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.router8.ppp0, address = 10.0.28.1, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.eNodeB4.pppIf, address = 10.0.28.2, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.router8.ppp1, address = 10.0.29.1, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.eNodeB5.pppIf, address = 10.0.29.2, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.router8.ppp2, address = 10.0.30.1, netmask = 255.255.255.0
Setting interface address, interface = large_topologywithrouting7.router1.ppp0, address = 10.0.30.2, netmask = 255.255.255.0
